,EPI300,,EPI300_ara,,EPI300_pCC1,,EPI300_pCC1_ara,,EPI300_pCC1_ATF1,,EPI300_pCC1_ATF1_ara,,EPI300_pCC1_ATF1_iAAl,,EPI300_pCC1_ATF1_ara_iAAl,,,,,,,,,,,,,,,,,,,,,,
h,Avg,SD,Avg,SD,Avg,SD,Avg,SD,Avg,SD,Avg,SD,Avg,SD,Avg,SD,,,,,,,,,,,,,,,,,,,,,
0,0.071,0.006,0.045,0.018,0.058,0.016,0.041,0.007,0.040,0.009,0.052,0.009,0.038,0.005,0.053,0.009,,,,,,,,,,,,,,,,,,,,,
1,0.111,0.019,0.090,0.003,0.129,0.025,0.112,0.020,0.105,0.024,0.135,0.003,0.097,0.004,0.111,0.015,,,,,,,,,,,,,,,,,,,,,
2,0.210,0.048,0.196,0.004,0.228,0.029,0.207,0.013,0.190,0.017,0.224,0.019,0.199,0.005,0.229,0.048,,,,,,,,,,,,,,,,,,,,,
3,0.378,0.045,0.341,0.010,0.357,0.029,0.344,0.018,0.321,0.029,0.334,0.020,0.324,0.015,0.337,0.034,,,,,,,,,,,,,,,,,,,,,
4,0.489,0.031,0.454,0.021,0.489,0.043,0.439,0.024,0.428,0.022,0.454,0.043,0.427,0.020,0.432,0.041,,,,,,,,,,,,,,,,,,,,,
5,0.631,0.042,0.581,0.016,0.592,0.042,0.552,0.014,0.561,0.016,0.564,0.025,0.549,0.022,0.532,0.027,,,,,,,,,,,,,,,,,,,,,
6,0.725,0.035,0.658,0.010,0.675,0.051,0.651,0.023,0.652,0.023,0.660,0.050,0.619,0.021,0.608,0.034,,,,,,,,,,,,,,,,,,,,,
7,0.810,0.030,0.733,0.003,0.784,0.059,0.727,0.016,0.740,0.027,0.711,0.040,0.692,0.021,0.665,0.021,,,,,,,,,,,,,,,,,,,,,
8,0.884,0.032,0.810,0.011,0.850,0.044,0.814,0.031,0.822,0.010,0.783,0.043,0.756,0.030,0.736,0.026,,,,,,,,,,,,,,,,,,,,,
9,0.944,0.024,0.865,0.009,0.924,0.055,0.877,0.023,0.897,0.017,0.856,0.039,0.816,0.029,0.794,0.007,,,,,,,,,,,,,,,,,,,,,
10,1.007,0.032,0.925,0.002,0.971,0.055,0.927,0.022,0.947,0.014,0.918,0.052,0.865,0.030,0.863,0.015,,,,,,,,,,,,,,,,,,,,,
11,1.062,0.030,0.970,0.008,1.016,0.047,0.992,0.032,0.996,0.019,0.978,0.055,0.914,0.033,0.905,0.015,,,,,,,,,,,,,,,,,,,,,
12,1.092,0.015,1.005,0.014,1.056,0.061,1.022,0.022,1.037,0.012,1.010,0.050,0.959,0.042,0.931,0.016,,,,,,,,,,,,,,,,,,,,,
13,1.144,0.021,1.039,0.005,1.098,0.057,1.064,0.023,1.082,0.007,1.040,0.068,0.998,0.053,0.972,0.018,,,,,,,,,,,,,,,,,,,,,
14,1.176,0.022,1.066,0.017,1.124,0.052,1.085,0.018,1.117,0.009,1.081,0.070,1.036,0.040,1.003,0.015,,,,,,,,,,,,,,,,,,,,,
20,1.359,0.036,1.166,0.009,1.332,0.052,1.234,0.021,1.332,0.008,1.217,0.041,1.297,0.031,1.201,0.024,,,,,,,,,,,,,,,,,,,,,
